"Industry Code","Industry","Category","Type","Valuation","Statistic","Period","Value"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2024Q1","-0.25"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2024Q2","0.12"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2024Q3","-0.28"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2024Q4","-0.13"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2025Q1","0.57"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2025Q2","-0.79"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2025Q3","-0.01"
"21","Mining","VA_DD","Index","[Percent and percentage points] (All Industries)","P-Contributions to GDP","2025Q4","-0.18"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Price Index","2021Q1","95.507"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Price Index","2021Q2","111.254"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Price Index","2021Q3","123.655"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Price Index","2021Q4","150.148"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Price Index","2022Q1","170.211"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Price Index","2022Q2","215.519"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Price Index","2022Q3","194.808"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Price Index","2022Q4","152.005"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Price Index","2023Q1","128.644"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Price Index","2023Q2","107.860"
